implementation,credential_count,attribute_count,mean_ms
multi_credential_batch_verify,4,4,7.48770223625
multi_credential_batch_verify,4,16,7.213420718571427
multi_credential_batch_verify,4,32,8.131667975714288
multi_credential_batch_verify,16,4,25.77632727
multi_credential_batch_verify,16,16,27.583583965
multi_credential_batch_verify,16,32,30.202763760000003
multi_credential_batch_verify,32,4,50.66450297
multi_credential_batch_verify,32,16,54.28868253
multi_credential_batch_verify,32,32,60.107882020000005
multi_issuer_identity_binding,4,4,17.732197899999992
multi_issuer_identity_binding,4,16,18.60913264666667
multi_issuer_identity_binding,4,32,20.18037237333333
multi_issuer_identity_binding,16,4,71.16565873
multi_issuer_identity_binding,16,16,75.1194821
multi_issuer_identity_binding,16,32,80.56049082
multi_issuer_identity_binding,32,4,143.27807533
multi_issuer_identity_binding,32,16,149.60443581
multi_issuer_identity_binding,32,32,161.31332831
non_private_non_batch,4,4,6.751005162499999
non_private_non_batch,4,16,6.91439853625
non_private_non_batch,4,32,6.779826559999999
non_private_non_batch,16,4,29.118975885
non_private_non_batch,16,16,28.236525399999998
non_private_non_batch,16,32,29.197370605
non_private_non_batch,32,4,54.62357917
non_private_non_batch,32,16,54.5996796
non_private_non_batch,32,32,54.2102742
non_private_with_batch,4,4,2.885631182777777
non_private_with_batch,4,16,2.9684120370588234
non_private_with_batch,4,32,2.870016944444444
non_private_with_batch,16,4,10.38935239
non_private_with_batch,16,16,10.013253998000001
non_private_with_batch,16,32,10.27898175
non_private_with_batch,32,4,19.43190804999999
non_private_with_batch,32,16,19.719273729999998
non_private_with_batch,32,32,19.592597499999997
